PRUExtra Premier CoPay (S$),,,,
(Inclusive of 7% GST),,,,
For Singapore Citizens / Singapore Permanent Residents / Foreigners,,,,
who are dependants of Singapore Citizens or Singapore Permanent Residents 1,,,,
Age Next,Annual,,Monthly1,
Birthday,"With 20% PruWell
Reward*","Standard Level
Premium","With 20% PruWell
Reward*","Standard Level
Premium"
1,566.40,708,48.14,60.18
2,566.40,708,48.14,60.18
3,560.80,701,47.67,59.59
4,560.80,701,47.67,59.59
5,542.40,678,46.10,57.63
6,524.80,656,44.61,55.76
7,506.40,633,43.04,53.81
8,488.80,611,41.55,51.94
9,470.40,588,39.98,49.98
10,452.80,566,38.49,48.11
11,431.20,539,36.65,45.82
12,433.60,542,36.86,46.07
13,434.40,543,36.92,46.16
14,434.40,543,36.92,46.16
15,434.40,543,36.92,46.16
16,437.60,547,37.20,46.50
17,437.60,547,37.20,46.50
18,437.60,547,37.20,46.50
19,437.60,547,37.20,46.50
20,437.60,547,37.20,46.50
21,482.40,603,41.00,51.26
22,483.20,604,41.07,51.34
23,484.80,606,41.21,51.51
24,484.80,606,41.21,51.51
25,484.80,606,41.21,51.51

Age Next,Annual,,Monthly1,
Birthday,"With 20% PruWell
Reward*","Standard Level
Premium","With 20% PruWell
Reward*","Standard Level
Premium"
26,484.80,606,41.21,51.51
27,492.00,615,41.82,52.28
28,500.00,625,42.50,53.13
29,506.40,633,43.04,53.81
30,514.40,643,43.72,54.66
31,543.20,679,46.17,57.72
32,551.20,689,46.85,58.57
33,558.40,698,47.46,59.33
34,566.40,708,48.14,60.18
35,573.60,717,48.76,60.95
36,581.60,727,49.44,61.80
37,588.80,736,50.05,62.56
38,596.80,746,50.73,63.41
39,604.80,756,51.41,64.26
40,612.00,765,52.02,65.03
41,806.40,1008,68.54,85.68
42,817.60,1022,69.50,86.87
43,896.80,1121,76.23,95.29
44,922.40,1153,78.40,98.01
45,922.40,1153,78.40,98.01
46,922.40,1153,78.40,98.01
47,922.40,1153,78.40,98.01
48,922.40,1153,78.40,98.01
49,922.40,1153,78.40,98.01
50,922.40,1153,78.40,98.01
51,1209.60,1512,102.82,128.52
52,1216.80,1521,103.43,129.29
53,1244.00,1555,105.74,132.18

Age Next,Annual,,Monthly1,
Birthday,"With 20% PruWell
Reward*","Standard Level
Premium","With 20% PruWell
Reward*","Standard Level
Premium"
54,1337.60,1672,113.70,142.12
55,1370.40,1713,116.48,145.61
562,1660.80,2076,141.17,176.46
572,1672.00,2090,142.12,177.65
582,1677.60,2097,142.60,178.25
592,1849.60,2312,157.22,196.52
602,1920.00,2400,163.20,204.00
612,2356.00,2945,200.26,250.33
622,2396.80,2996,203.73,254.66
632,2570.40,3213,218.48,273.11
642,2677.60,3347,227.60,284.50
652,2677.60,3347,227.60,284.50
662,3264.80,4081,277.51,346.89
672,3484.80,4356,296.21,370.26
682,3706.40,4633,315.04,393.81
692,3733.60,4667,317.36,396.70
702,3760.80,4701,319.67,399.59
712,4104.00,5130,348.84,436.05
722,4132.80,5166,351.29,439.11
732,4304.80,5381,365.91,457.39
742,4515.20,5644,383.79,479.74
752,4703.20,5879,399.77,499.72
"762,3",4898.40,6123,416.36,520.46
"772,3",5089.60,6362,432.62,540.77
"782,3",5278.40,6598,448.66,560.83
"792,3",5467.20,6834,464.71,580.89
"802,3",5644.80,7056,479.81,599.76
"812,3",5823.20,7279,494.97,618.72

Age Next,Annual,,Monthly1,
Birthday,"With 20% PruWell
Reward*","Standard Level
Premium","With 20% PruWell
Reward*","Standard Level
Premium"
"822,3",6000.00,7500,510.00,637.50
"832,3",6048.80,7561,514.15,642.69
"842,3",6098.40,7623,518.36,647.96
"852,3",6324.80,7906,537.61,672.01
"862,3",6552.00,8190,556.92,696.15
"872,3",6778.40,8473,576.16,720.21
"882,3",6944.00,8680,590.24,737.80
"892,3",7109.60,8887,604.32,755.40
"902,3",7165.60,8957,609.08,761.35
"912,3",7221.60,9027,613.84,767.30
"922,3",7276.80,9096,618.53,773.16
"932,3",7387.20,9234,627.91,784.89
"942,3",7496.00,9370,637.16,796.45
"952,3",7571.20,9464,643.55,804.44
"962,3",7646.40,9558,649.94,812.43
"972,3",7721.60,9652,656.34,820.42
"982,3",7835.20,9794,665.99,832.49
"992,3",7946.40,9933,675.44,844.31
"1002,3",8059.20,10074,685.03,856.29
">1002,3",8059.20,10074,685.03,856.29

PRUExtra Premier CoPay (S$),,
(Inclusive of 7% GST),,
