,Cost of Renovation,ammenities,atm_nearby,average_transit_duration_to_subway,average_transit_duration_to_supermarket,average_walking_duration_to_bus_station,average_walking_duration_to_clinic,num_baths,num_beds,num_bus_stations_nearby,num_clinics_nearby,num_subways_nearby,num_supermarkets_nearby,others,park_nearby,post_box_nearby,post_office_nearby,pre-tertiary,price,primary,secondary,sqft,tenure,total_units,transit_duration_to_changi_airport,transit_duration_to_orchard_road,transit_duration_to_raffles_place,year_since_completion,months_since_last_renovation,months_before_tenancy_lease_expiry,Availability_Now,Availability_Occupied,Condition_Brand New,Condition_For Reno / A&A,Condition_Land Only / For Rebuilding,Condition_Used,Facing_East,Facing_North,Facing_North East,Facing_North South,Facing_North West,Facing_South,Facing_South East,Facing_South West,Facing_West,Floor_high,Floor_low,Floor_mid,Floor_top,Furnishing_Fully Furnished,Furnishing_Partially Furnished,Furnishing_Unfurnished,Landed House Area Zoning_2 Storey Bungalow,Landed House Area Zoning_2 Storey Mixed Landed,Landed House Area Zoning_2 Storey Semi D,Landed House Area Zoning_3 Storey Bungalow,Landed House Area Zoning_3 Storey Mixed Landed,Landed House Area Zoning_3 Storey Semi D,Landed House Area Zoning_GCBA,Landed House Area Zoning_Not Applicable,Landed House Area Zoning_Not in Landed Housing Area,Landed House Area Zoning_Others,Re-wiring/Structural Renovation_No,Re-wiring/Structural Renovation_Yes,District,type,link
0,0.0,6.0,1.0,64.0,18.0,4.0,3.0,1.0,1.0,10.0,5.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,255000.0,0.0,1.0,506.0,99.0,955.2523058834549,93.0,50.0,43.0,17.55408077668083,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D22,hdb,https://www.99.co/singapore/hdb/23-teban-gardens-road-adFMfTLUCEb8WhLFs4B5uriT
1,0.0,15.0,0.0,64.0,172.0,18.0,22.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081000.0,0.0,0.0,872.0,99.0,1478.0,54.0,43.0,42.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D19,condo,https://www.99.co/singapore/condos-apartments/riverfront-residences
2,0.0,23.0,0.0,64.0,172.0,18.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588000.0,0.0,0.0,441.0,99.0,428.0,37.0,57.0,52.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D17,condo,https://www.99.co/singapore/condos-apartments/the-jovell
3,0.0,3.0,1.0,16.5,14.0,4.3,4.7,2.0,2.0,10.0,10.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,720000.0,1.0,0.0,699.0,99.0,567.8680126156372,65.0,30.0,19.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D2,hdb,https://www.99.co/singapore/hdb/18-cantonment-close-adLoqS48MJPV9QUHLvuV5QGj
4,0.0,29.0,1.0,11.5,10.0,4.857142857142857,7.0,1.0,2.0,10.0,10.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,858000.0,4.0,1.0,689.0,99.0,555.0,49.0,44.0,44.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D28,condo,https://www.99.co/singapore/condos-apartments/riverbank-fernvale
5,0.0,5.0,1.0,64.0,16.0,5.1,2.8,2.0,2.0,10.0,10.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,368000.0,0.0,2.0,882.0,99.0000043652268,504.82308430730586,86.0,41.0,38.0,33.03591647524144,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D5,hdb,
6,0.0,2.0,1.0,64.0,16.0,4.4,6.0,5.0,4.0,10.0,10.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4500000.0,2.0,1.0,3742.0,99999.00039931727,266.3540023997677,41.0,54.0,46.0,42.0,145.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,D18,landed,https://www.99.co/singapore/landed/pasir-ris-beach-park-dexPeiy5ftKBcjgeYuxZoRia
7,0.0,14.0,1.0,11.0,14.75,4.8,5.2,3.0,3.0,10.0,10.0,2.0,5.0,4.0,0.0,1.0,1.0,0.0,2980000.0,1.0,0.0,1615.0,99999.0,128.0,58.0,14.0,20.0,7.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D11,condo,https://www.99.co/singapore/condos-apartments/miro
8,0.0,25.0,1.0,8.333333333333334,10.5,4.888888888888889,5.333333333333333,1.0,1.0,10.0,10.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,713000.0,2.0,1.0,506.0,99.0,735.0,47.0,43.0,42.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D28,condo,https://www.99.co/singapore/condos-apartments/parc-botannia
9,0.0,18.0,1.0,15.0,16.25,5.0,5.0,1.0,1.0,10.0,10.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,750000.0,0.0,1.0,614.0,99.0,1145.0,47.0,41.0,38.0,5.0,0.0,-8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D19,condo,https://www.99.co/singapore/condos-apartments/the-minton
