,name,geometry,area
deBww68UZiCQC9buT6HJHn94,visioncrest,"POLYGON ((29120.39317503387 31253.28339999881, 29120.27480003314 31253.24549999987, 29116.13150003352 31251.91919999904, 29100.05920003464 31246.77380000021, 29072.77140003365 31238.03790000047, 29068.84000003412 31236.77939999998, 29069.88380003411 31233.66239999949, 29074.94760003293 31218.54199999908, 29074.99830003466 31218.3901999999, 29081.12140003418 31200.10659999928, 29081.87030003396 31197.87030000023, 29082.05560003409 31197.31695000049, 29109.18400003417 31206.18099999952, 29109.18450003447 31206.17162499916, 29109.18522503466 31206.15834999977, 29109.28157503242 31204.3935749993, 29109.2825000332 31204.37657500024, 29109.64625003231 31197.71447499994, 29109.64697503445 31197.70107500033, 29110.23300003429 31186.96800000002, 29113.32705003367 31130.43627499943, 29113.33415003407 31130.30657499996, 29113.34697503391 31130.07227499933, 29113.35287503326 31129.96450000036, 29113.28900003394 31129.93199999969, 29103.39030003425 31124.89599999935, 29074.23660003434 31110.06432499887, 29074.23100003319 31110.0749999989, 29072.80472503334 31112.94337500042, 29071.48277503428 31115.60194999879, 29071.23582503497 31116.0985999998, 29071.23085003416 31116.10862499999, 29071.03512503417 31116.50222500007, 29071.01092503349 31116.55087500033, 29070.38327503412 31117.81314999949, 29070.38177503415 31117.81619999895, 29029.56300003396 31199.9069999993, 29022.62600003315 31212.1459999994, 29020.82000003435 31214.66200000012, 29017.082000034 31220.5944999993, 29013.10410003209 31225.95667500013, 29012.90747503486 31226.22169999931, 29012.90430003381 31226.22599999941, 29012.38335003369 31226.82689999941, 29012.36997503435 31226.84229999936, 29008.35545003342 31231.4728249997, 29008.34310003334 31231.48707499877, 29008.31100003407 31231.52409999969, 29007.92820003362 31236.17639999989, 29010.51700003287 31240.10899999889, 29020.17445003449 31254.84282499889, 29020.20870003574 31254.89505000002, 29021.53400003356 31256.91699999906, 29021.37200003421 31264.70099999911, 29020.66000003406 31268.09699999879, 29020.20500003353 31268.91799999926, 29020.19747503457 31268.92547499915, 29020.17770003426 31268.94509999981, 29018.35672503187 31270.75132499972, 29018.35360003275 31270.75442500006, 29018.35000003182 31270.75799999914, 29018.65400003394 31273.65499999899, 29018.80300003415 31275.07999999971, 29018.77652503436 31275.10005000012, 29018.75335003435 31275.11759999921, 29018.74022503413 31275.12752499954, 29018.73875003403 31275.12865, 29018.73527503377 31275.1312749997, 29018.67472503319 31275.17712499913, 29018.56000003378 31275.2640000001, 29019.73017503386 31285.22214999946, 29019.73025003416 31285.22285000011, 29020.06400003444 31288.0629999988, 29022.89712503541 31305.45282500015, 29022.95262503371 31305.793375, 29022.96197503325 31305.85102499988, 29023.04900003294 31305.83599999888, 29023.06272503394 31305.83019999938, 29023.07477503376 31305.82507500018, 29027.01242503425 31304.15702499972, 29031.19797503453 31302.38395000029, 29032.94000003423 31301.64599999941, 29042.70600003431 31297.13599999958, 29052.32400003413 31292.31899999977, 29065.19600003389 31284.94199999946, 29116.63500003366 31255.44700000025, 29117.47145003343 31254.96544999968, 29120.39317503387 31253.28339999881))",11289.354705151218
dezffmfUfU7j2AZq7SaCZcAV,oxley-edge,"POLYGON ((28939.530100035 30894.11250000041, 28909.86770003386 30880.54780000038, 28909.02150003384 30881.64450000002, 28906.44730003427 30885.67769999953, 28906.44080003378 30885.68789999895, 28937.18920003296 30899.78370000013, 28939.530100035 30894.11250000041))",203.4605346898225
de64sRpu6B5kL5ZMqsy3aY83,up-robertson-quay,"POLYGON ((28491.80500003405 30342.27099999937, 28487.7430000344 30338.36399999972, 28456.26000003354 30325.79499999957, 28450.67300003429 30325.95299999941, 28431.56157503444 30334.55939999935, 28429.56330003236 30335.45927499949, 28423.47477503413 30338.20109999889, 28421.62185003391 30339.03845000046, 28414.87210003455 30325.29389999957, 28414.90430003339 30325.22749999879, 28408.25160003361 30311.5726999991, 28403.01130003409 30300.8167, 28398.28990003433 30291.12599999981, 28399.05400003392 30288.87599999979, 28384.60700003332 30294.96869999878, 28384.20020003448 30295.14019999991, 28384.2102000333 30295.16080000033, 28396.50940003453 30320.57840000054, 28419.42690003463 30367.93969999966, 28423.19970003369 30375.73660000005, 28429.35140003526 30388.44969999942, 28431.36530003425 30392.61160000008, 28494.71082503357 30364.1586249989, 28495.21800003389 30363.9299999994, 28498.09100003451 30356.718, 28497.9110750344 30356.30450000019, 28491.80500003405 30342.27099999937))",4426.059840084918
derjk2a5yZokjVVzgWUYuGQk,martin-modern,"POLYGON ((28482.45400003335 30697.33899999934, 28487.29900003324 30697.68299999984, 28494.90300003373 30697.49799999934, 28508.64300003295 30696.30299999904, 28518.31000003315 30696.63000000045, 28526.35800003434 30696.00599999876, 28531.01000003413 30694.51400000012, 28546.13800003456 30687.91899999941, 28549.34110003386 30686.57799999943, 28558.66500003374 30683.50099999982, 28565.6549000333 30681.21399999935, 28573.26100003365 30678.56899999981, 28582.27480003346 30674.44389999997, 28585.67950003383 30672.88579999988, 28566.44530003378 30645.92569999924, 28544.30930003428 30614.25419999999, 28539.93940003373 30608.00190000013, 28534.47650003338 30600.18349999897, 28520.38670003298 30580.02140000054, 28519.31240003394 30578.38369999981, 28511.84170003405 30566.99599999901, 28509.03320003478 30562.88599999958, 28496.71760003414 30544.86279999987, 28495.72840003499 30543.41520000027, 28495.56450003487 30543.52810000037, 28494.24440003468 30544.43730000006, 28486.15400003425 30550.00979999973, 28475.36420003396 30557.44150000034, 28473.44700003408 30558.76199999978, 28465.43600003429 30547.28399999965, 28465.90700003381 30543.69700000032, 28467.19160003389 30542.80680000002, 28464.60380003357 30539.33789999938, 28462.63200003436 30536.6948000003, 28462.63900003491 30536.68999999915, 28466.67500003419 30533.89299999891, 28461.89100003345 30527.06499999912, 28458.42000003453 30530.64699999955, 28454.93600003338 30534.59799999895, 28452.78640003412 30537.30489999952, 28448.77300003338 30542.35899999891, 28445.55100003431 30546.61199999938, 28442.71100003459 30550.62499999968, 28440.42890003415 30554.27199999955, 28438.86250003345 30557.03609999983, 28436.20500003384 30561.7249999993, 28434.02890003461 30566.13165000044, 28434.02857503561 30566.13227499987, 28430.12100861142 30574.74779187424, 28426.78629098624 30583.59779844376, 28424.03857237166 30592.64474131552, 28421.88951215728 30601.8502314372, 28420.34822942818 30611.17520699366, 28419.42126427008 30620.58009915907, 28419.11255003339 30630.02500000003, 28419.11255003381 30630.02567500029, 28419.19357503482 30634.86037499985, 28419.66360003419 30648.87949999947, 28430.90800003421 30647.16799999928, 28459.50100003408 30650.99499999882, 28467.09600003395 30699.14599999935, 28481.27510003457 30691.28399999963, 28482.38140003412 30696.96629999915, 28482.45400003335 30697.33899999934))",15932.145783622645
deN7jqPZMK4qXzbqkDinAfG,8-saint-thomas,"POLYGON ((28309.86910003353 30930.41400000046, 28302.45890003377 30937.31249999968, 28289.38680003506 30987.44050000016, 28297.84510003274 30989.58899999938, 28293.64100003439 31006.04599999972, 28366.01850003436 30997.81339999999, 28369.32800003374 30997.43700000051, 28371.16610003392 30991.25999999942, 28371.51940003374 30989.75669999945, 28372.97800003409 30983.55199999884, 28373.54600003393 30977.6658999991, 28372.33440003353 30969.20599999989, 28369.99500003344 30952.87099999901, 28365.31200003367 30920.15699999929, 28340.82400003353 30924.68730000001, 28309.86910003353 30930.41400000046))",5544.545664100576
deeZo9jUCBTVE8UcNbQZnQUW,haus-on-handy,"POLYGON ((29504.89737503367 31370.23334999903, 29494.30590003389 31340.48630000056, 29491.90222503434 31333.73524999957, 29489.59190003488 31327.24637499975, 29489.58935003456 31327.23919999937, 29485.34010003391 31329.51400000008, 29481.15200003202 31331.75599999876, 29477.31260003233 31334.12120000048, 29470.66600003448 31338.21570000016, 29462.22860003337 31344.78619999958, 29454.63310003475 31351.79929999974, 29451.25820003459 31355.40149999935, 29451.36470003386 31355.65259999934, 29450.32890003329 31356.82239999959, 29450.0833000338 31356.62759999897, 29439.81090003598 31368.2771000002, 29456.41210003462 31382.33999999948, 29480.81100003341 31403.0184999999, 29497.37900003306 31417.06000000021, 29514.07105003387 31395.95344999957, 29513.58972503591 31394.6464249991, 29513.46335003227 31394.29159999975, 29512.85495003416 31392.58274999972, 29511.01990003408 31387.42895000018, 29509.16490003554 31382.21897499975, 29508.62237503396 31380.69532499986, 29504.89737503367 31370.23334999903))",3382.4940703175844
dev5bjXRpyVoFkLBLG3oy53k,paterson-residence,"POLYGON ((27678.66000003361 31336.69199999945, 27676.12860003423 31335.30639999884, 27657.23600003324 31324.96489999966, 27653.27300003395 31323.98299999876, 27652.37480003457 31323.98110000012, 27649.18700003415 31323.97399999912, 27645.21800003501 31324.93999999913, 27641.59500003433 31326.82599999907, 27638.52600003428 31329.52109999921, 27636.18790003373 31332.87010000053, 27633.09200003399 31338.68799999882, 27630.02500003458 31344.44899999878, 27624.84700003421 31354.17899999919, 27603.58800003435 31398.68999999914, 27595.17300003427 31416.30000000041, 27589.18600003366 31431.5969999988, 27583.8940000345 31448.22399999912, 27580.53700003416 31462.18899999895, 27577.94800003343 31476.73299999874, 27577.11900003387 31482.38399999929, 27582.24100003403 31488.56100000032, 27582.5081000326 31488.57200000029, 27586.55000003427 31488.11399999975, 27586.7280000334 31488.08099999992, 27604.57300003402 31475.09799999893, 27614.82700003324 31466.79299999923, 27624.45700003441 31457.75899999925, 27633.17900003362 31447.84699999879, 27640.99700003379 31437.20700000007, 27647.84800003402 31425.9199999996, 27653.67900003283 31414.07399999874, 27664.78100003425 31388.77229999909, 27675.78200003422 31363.70099999911, 27676.99520003438 31360.93590000052, 27678.39390003419 31357.74799999928, 27682.54900003351 31348.19800000048, 27683.29000003459 31344.96000000054, 27682.83300003342 31341.68899999895, 27681.22700003442 31338.7939999994, 27678.66000003361 31336.69199999945))",7775.938182735828
deEXHXj4KyHnghnBnHjKYDi4,the-lumos,"POLYGON ((27898.9510000345 31249.0469999999, 27858.96600003427 31227.00689999913, 27828.10200003354 31283.07899999958, 27827.804000034 31283.59359999901, 27829.35540003441 31285.57420000027, 27831.00390003424 31287.54680000023, 27832.7050000343 31289.46670000033, 27834.46280003334 31291.335899999, 27836.27340003441 31293.1678999994, 27838.13280003343 31294.93749999972, 27840.71130003403 31297.24709999899, 27846.3704000342 31301.64899999991, 27846.45790003408 31301.71699999983, 27850.8299000337 31303.98269999925, 27850.86690003565 31304.00199999996, 27859.66550003392 31308.56459999982, 27859.70300003338 31308.58410000022, 27864.5422000342 31311.09280000034, 27872.45870003327 31296.81779999996, 27898.9510000345 31249.0469999999))",3179.9302835462026
des64ic2dN5dUibYK3jSNPM6,riviere,"POLYGON ((28241.45105003459 30377.3530999996, 28237.10865003376 30368.13299999908, 28236.00252503428 30368.44569999879, 28235.8348500349 30368.49432500045, 28235.80240003421 30368.50402499888, 28234.99560003338 30368.74049999904, 28234.70310003326 30368.82609999888, 28234.55420003398 30368.86999999882, 28233.89140003339 30369.06409999885, 28229.77000003366 30370.27199999956, 28229.74490003466 30370.2794, 28229.59477503552 30370.32339999978, 28200.01797503307 30378.99499999883, 28187.89900003352 30382.55100000055, 28187.88650003421 30382.557399999, 28176.98460003343 30388.11930000001, 28171.16700003471 30388.2310000003, 28169.17820003397 30391.9650999993, 28159.31100003339 30410.49200000019, 28156.38370003436 30415.9871750005, 28155.19000003458 30418.22799999979, 28154.42792503383 30419.65879999997, 28141.04500003396 30444.78499999982, 28135.14500003367 30455.8639999997, 28136.67920003481 30461.67549999959, 28141.03600003387 30478.17899999922, 28142.07967503407 30482.66345000043, 28144.89660003348 30494.76730000009, 28146.17700003439 30500.26899999905, 28147.22710003413 30504.3496, 28150.1106250339 30515.55562499879, 28150.58030003347 30515.5693999991, 28151.58167503425 30515.59879999945, 28178.2382250334 30516.38072499969, 28181.48367503437 30516.47589999962, 28183.09857503225 30516.52327499878, 28190.81285003425 30516.74954999948, 28194.40997503418 30516.85507499952, 28200.53660003369 30517.03477499972, 28200.56865003442 30517.03570000047, 28207.12397503399 30517.22799999976, 28208.70037503406 30517.12939999964, 28211.96687503369 30516.92504999934, 28216.71205003378 30515.91090000012, 28221.25565003578 30514.20774999974, 28225.49827503433 30511.85287499951, 28229.34700003474 30508.89782500044, 28232.71765003435 30505.40727500025, 28235.53642503436 30501.45759999907, 28237.74160003347 30497.13529999896, 28250.87027503367 30467.25419999999, 28252.43307503411 30463.69722500036, 28252.58607503489 30463.25999999944, 28253.28200003321 30461.29230000045, 28254.1815250349 30458.23127499933, 28254.82237503495 30455.71037499947, 28255.46952503458 30452.37389999966, 28255.64957503197 30451.04777499997, 28255.92767503245 30449.36612500028, 28256.06350003378 30448.00029999918, 28256.24482503448 30445.94954999876, 28256.31330003365 30444.05057499897, 28256.32377503369 30441.87729999951, 28256.30860003462 30439.4767499991, 28256.24245003343 30437.50374999981, 28256.11352503416 30435.7509999998, 28255.88222503495 30433.87539999895, 28255.54395003426 30431.79670000041, 28255.45722503299 30431.31944999994, 28252.28200003417 30411.40277500042, 28252.07090003357 30410.66967499964, 28250.80352503374 30406.26832499879, 28250.55342503573 30405.39972499909, 28248.96887503469 30400.05469999985, 28247.0883500345 30393.61354999952, 28245.53337503336 30388.28735000046, 28244.50995003453 30384.78185000051, 28243.79267503401 30382.32499999891, 28241.99317503428 30378.50414999911, 28241.45105003459 30377.3530999996))",13476.952056652546
de6c9yEGUJTWDPoYU5nxYUvf,leonie-suites,"POLYGON ((27858.96600003427 31227.00689999913, 27820.43800003451 31197.49300000035, 27820.33010003357 31197.40999999981, 27820.31630003342 31197.39980000035, 27809.71600003488 31217.12609999965, 27806.9630000347 31223.51999999921, 27805.3530000345 31230.29299999926, 27804.93600003314 31237.24400000054, 27805.72500003414 31244.16499999872, 27805.73290003373 31244.19160000014, 27807.69600003382 31250.845799999, 27810.79000003466 31257.08799999918, 27819.14500003377 31270.81000000013, 27823.35500003503 31277.11600000006, 27828.08000003448 31283.04699999991, 27828.07860003304 31283.0495999992, 27827.78930003436 31283.57489999911, 27827.804000034 31283.59359999901, 27828.10200003354 31283.07899999958, 27858.96600003427 31227.00689999913))",2555.4806201392685
