,Availability,Condition,Cost of Renovation,District,Facing,Floor,Furnishing,Landed House Area Zoning,Last Renovated Date,Re-wiring/Structural Renovation,Tenancy Current Rent,Tenancy Lease Expiry,ammenities,atm_nearby,average_transit_duration_to_subway,average_transit_duration_to_supermarket,average_walking_duration_to_bus_station,average_walking_duration_to_clinic,link,num_baths,num_beds,num_bus_stations_nearby,num_clinics_nearby,num_subways_nearby,num_supermarkets_nearby,others,park_nearby,post_box_nearby,post_office_nearby,pre-tertiary,price,primary,secondary,sqft,tenure,total_units,transit_duration_to_changi_airport,transit_duration_to_orchard_road,transit_duration_to_raffles_place,type,year_since_completion
0,Now,,,D22,North South,,,,,,,,6,1,,18.0,4.0,3.0,https://www.99.co/singapore/hdb/23-teban-gardens-road-adFMfTLUCEb8WhLFs4B5uriT,1.0,1.0,10,5,0,3,,0,1,1,,255000.0,,1.0,506.0,99 Years,,93.0,50.0,43.0,hdb,
1,14 Feb 2023,,,D19,,,,,,,,,15,0,,,,,https://www.99.co/singapore/condos-apartments/riverfront-residences,3.0,3.0,0,0,0,0,,0,0,0,,1081000.0,,,872.0,99 Years,1478,54.0,43.0,42.0,condo,-5
2,,,,D28,,,Fully Furnished,,,,,,29,1,11.5,10.0,4.857142857142857,7.0,https://www.99.co/singapore/condos-apartments/riverbank-fernvale,1.0,2.0,10,10,6,1,,1,1,0,,858000.0,4.0,1.0,689.0,99 Years,555,49.0,44.0,44.0,condo,2
3,Now,,,D05,North,,,,,,,,5,1,,16.0,5.1,2.8,,2.0,2.0,10,10,0,5,2.0,1,1,1,,368000.0,,2.0,882.0,,,86.0,41.0,38.0,hdb,
4,Now,,,D11,South West,5,Fully Furnished,,,,S$6200,18 Jan 2019,14,1,11.0,14.75,4.8,5.2,https://www.99.co/singapore/condos-apartments/miro,3.0,3.0,10,10,2,5,4.0,0,1,1,,2980000.0,1.0,,1615.0,Freehold,128,58.0,14.0,20.0,condo,7
5,Now,Brand New,,D11,,,,3 Storey Semi D,,Yes,,,19,1,14.0,18.666666666666668,5.777777777777778,6.0,https://www.99.co/singapore/landed/the-whitley-residences-dePncdpEHyu7SXJrCWycaha3,5.0,5.0,10,10,1,3,4.0,0,1,1,1.0,4800000.0,1.0,1.0,2000.0,Freehold,61,60.0,23.0,29.0,landed,2
6,Now,,,D25,North,,,,,,,,25,1,,18.25,5.75,7.833333333333333,https://www.99.co/singapore/condos-apartments/parc-rosewood,2.0,3.0,10,10,0,5,1.0,0,1,1,1.0,895000.0,4.0,2.0,829.0,99 Years,689,55.0,51.0,59.0,condo,5
7,Now,,,D12,South,,,,,,,,1,1,,15.0,4.1,3.7,https://www.99.co/singapore/hdb/8-lorong-7-toa-payoh-admgeFiJ3Dy2enYJhJP3geY6,2.0,3.0,10,10,0,4,1.0,0,1,1,1.0,259999.0,1.0,1.0,721.0,99 Years,,74.0,29.0,34.0,hdb,21
8,26 Jun 2022,,,D03,North South,8,,,,,,,26,0,,,,,https://www.99.co/singapore/condos-apartments/stirling-residences,1.0,1.0,0,0,0,0,,0,0,0,,850000.0,,,441.0,99 Years,1259,66.0,27.0,19.0,condo,-3
9,Now,,,D27,,,,,,,,,4,0,,,,,https://www.99.co/singapore/hdb/463a-sembawang-drive-adGtrVDP4HHWv9eHk5BYHeBf,721.0,2.0,0,0,0,0,,0,0,0,,350000.0,,,,99 Years,738,67.0,46.0,52.0,hdb,6
