,url
0,https://www.99.co/singapore/sale/property/563-ang-mo-kio-avenue-3-hdb-R5SrBz3hBNcD3RYBUWMJYj
1,https://www.99.co/singapore/sale/property/macpherson-road-landed-RtctfZYvabY3MnFwFqnu7W
2,https://www.99.co/singapore/sale/property/puay-hee-avenue-landed-CTtoK7tDVDg3di8uLyo9f3
3,https://www.99.co/singapore/sale/property/hillcrest-arcadia-condo-xapyZZLWjSLfp68hC3uUjD
4,https://www.99.co/singapore/sale/property/the-tembusu-condo-qWRYQuthqUoezxbSST6ZTo
5,https://www.99.co/singapore/sale/property/suffolk-premier-condo-nirAVLx95ki34eJdr8V7df
6,https://www.99.co/singapore/sale/property/718-bedok-reservoir-road-hdb-aN4eEoeywXQx4kKqnK93LD
7,https://www.99.co/singapore/sale/property/regent-residences-condo-PJFqAumLTh7Wss755RReJj
8,https://www.99.co/singapore/sale/property/sims-dorado-condo-pRLX5efypMksDFoF6dhYZj
9,https://www.99.co/singapore/sale/property/mount-sophia-suites-condo-85V9RTdWaW544mVMGpFGoi
10,https://www.99.co/singapore/sale/property/the-tampines-trilliant-condo-CVs2syKZjpeiRW78qXm3N6
11,https://www.99.co/singapore/sale/property/macpherson-road-landed-xD2ujAYmNCiQ7ZyTqmq39B
12,https://www.99.co/singapore/sale/property/372-clementi-avenue-4-hdb-KGsDVoUnyzFfWd9HcgQG9B
13,https://www.99.co/singapore/sale/property/property-in-singapore-landed-t6hgunWHgxWB8uWcFPB6sU
14,https://www.99.co/singapore/sale/property/canberra-residences-condo-WNPyck5zaFWvi3Yd2cxk
15,https://www.99.co/singapore/sale/property/1-pine-close-hdb-kR58AJzydYasqysDBA9PEU
16,https://www.99.co/singapore/sale/property/starville-condo-2tGif28K6UqFoVzXRBQ2tU
17,https://www.99.co/singapore/sale/property/52-telok-blangah-drive-hdb-QsnxiH5dxxwdcfdtVDY4fL
18,https://www.99.co/singapore/sale/property/the-tapestry-condo-ut6mUuiKJWkZi8Rhiz5uDE
19,https://www.99.co/singapore/sale/property/the-tapestry-condo-3xzuVp4HjESfbRkEguz2GE
20,https://www.99.co/singapore/sale/property/affinity-at-serangoon-condo-5dmUJnUiMXKU8fMfHFgca5
21,https://www.99.co/singapore/sale/property/affinity-at-serangoon-condo-QzKLds7XiGyLKtanvLUTXR
22,https://www.99.co/singapore/sale/property/affinity-at-serangoon-condo-dkPdFBkzxU6ZAZ9wecjLz5
23,https://www.99.co/singapore/sale/property/affinity-at-serangoon-condo-AtorrZ2GpU23UtWAhKVcgY
24,https://www.99.co/singapore/sale/property/one-pearl-bank-condo-nyp87ik9notGwDu3pPa36c
25,https://www.99.co/singapore/sale/property/one-pearl-bank-condo-7vWeLzf7ds4HMiwUGDERNU
